event_name,event_link,opis,start_date_and_time,end_date_and_time,event_location,event_organizer,event_contact,event_cost,event_type
Fusion: The Los Angeles LGBT People of Color Film Festival,{'url': 'http://www.outfest.org'},"This is the only multi-cultural, gender-inclusive people of color film festival that spotlights the diversity of the LGBT community.   

Event times: Times vary, check website for details 

",2014-03-07T00:00:00,2014-03-07T00:00:00,"{'human_address': '{""address"":""6712 Hollywood Blvd"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}","Outfest

",213-480-7088,$13 ,"Culture & Community, Fairs & Festivals"
Fusion: The Los Angeles LGBT People of Color Film Festival,{'url': 'http://www.outfest.org'},"This is the only multi-cultural, gender-inclusive people of color film festival that spotlights the diversity of the LGBT community.   

Event times: Times vary, check website for details 

",2014-03-08T00:00:00,2014-03-08T00:00:00,"{'human_address': '{""address"":""6712 Hollywood Blvd"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}","Outfest

",213-480-7088,$13 ,"Culture & Community, Fairs & Festivals"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening.

",2014-03-08T15:00:00,2014-03-08T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques"
Pomona Art Walk,{'url': 'http://www.metropomona.com'},"The Downtown Pomona Arts Colony has an art walk every second and last Saturday of the month that brings big crowds to stroll the streets. Over a dozen galleries host receptions and open houses to showcase their latest exhibits and artists. Music, food, wine, and art throughout the evening.

",2014-03-29T15:00:00,2014-03-29T23:00:00,,Pomona Arts Colony,909-469-1121,Free,"Culture & Community, Arts & Antiques"
"Los Angeles Marathon

",{'url': 'http://www.lamarathon.com'},"This event is the largest marathon held in California, the fourth largest in the country, and the seventh largest in the world. Different entertainment centers located throughout the course will reflect the ethnic neighborhoods, as well as the cultural diversity of Los Angeles and the marathon runners themselves. 

",2014-03-09T07:00:00,2014-03-09T15:00:00,"{'human_address': '{""address"":""1000 Elysian Park Ave"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",Los Angeles Marathon,310-271-7200,$150 ,"Great Outdoors, Family Friendly"
40th Annual Festival on the Kite,{'url': 'http://www.redondopier.com'},"One of Southern California’s longest-running kite festivals is fun for all-ages with prizes awarded in various categories from the youngest kite flyer to the youngest at heart.

",2014-03-09T12:00:00,2014-03-09T17:00:00,,Redondo Pier Association,,Free,"Great Outdoors, Family Friendly, Fairs & Festivals"
Downtown Art Walk,{'url': 'http://www.downtownartwalk.org'},"The Downtown Art Walk is a monthly, self-guided tour of the art exhibition venues in Downtown Los Angeles, including commercial art galleries, public museums, nonprofit spaces, and grassroots arts venues. The event brings together art lovers and community friends to the ever-evolving Downtown Los Angeles.

",2014-03-13T12:00:00,2014-03-13T22:00:00,,Downtown LA Art Walk,,Free,"Culture & Community, Arts & Antiques"
1st Thursday San Pedro Art Walk,{'url': 'http://www.1stthursday.com'},"On the first Thursday of each month, the artists, entertainers, and business people of San Pedro celebrate the arts with an evening of open galleries, studios, street vendors, and live entertainment in the Downtown San Pedro Arts District.  Downtown San Pedro is magically transformed into a village of creativity surrounded by historical architecture, including the magnificent Warner Grand Theatre, quaint restaurants and cafes, plus plenty of places to shop for unusual items and gifts. Bring the whole family for an enjoyable evening in this seaside village.    

",2014-03-06T17:00:00,2014-03-06T21:00:00,,San Pedro Peninsula Chamber of Commerce,,free,"Family Friendly, Culture & Community"
Arts at Play,{'url': 'http://www.mcgroartyartscenter.org'},"The Art Exhibition is a special opportunity for visual artists from the local community and the Greater Los Angeles area to exhibit and sell their work in two curated gallery spaces. On March 22, the Center will host an Art Fair where vendors can sell their wares in outdoor booths. This year the event will host theatre, dance productions and live music to celebrate all of the arts.

Event times: Times vary, check website for details 

",2014-03-13T00:00:00,2014-03-22T00:00:00,,McGroarty Arts Center,818-352-5285,Free,"Culture & Community, Arts & Antiques"
Noche de Estrellas,{'url': 'http://www.aquariumofpacific.org'},"Party with 11,000 animals as you dance to the sounds of cumbia, salsa, cha cha, rumba, and other Latin rhythms. Enjoy live bands, DJs, underwater dive shows, scavenger hunts with prizes, and ocean activities all in English and Spanish. Mexican cuisine, beers, and drinks will be available for purchase.

",2014-03-14T18:30:00,2014-03-14T22:30:00,,Aquarium of the Pacific,562-590-3100,$14.95 per person and free for kids under age 3 and Aquarium members,"Family Friendly, Fairs & Festivals"
Santa Monica Airport Artwalk,{'url': 'http://arts.smgov.net/airportartwalk.htm'},"More than 60 local artists and performers will have their private studios and works on view at the 5th annual Santa Monica Airport ArtWalk. Throughout the day there will be pottery firing demonstrations, theater, and art workshops for kids. Food will be offered from local restaurants, Typhoon and Spitfire Grill, as well as the Border Grill food truck and The Sweets Truck.

",2014-03-15T12:00:00,2014-03-15T17:00:00,,"City of Santa Monica Cultural Affairs Division, Santa Monica Airport",310-434-2630,Free,"Arts & Antiques, Culture & Community, Family Friendly"
Tia Chucha’s 13th Anniversary,{'url': 'http://www.tiachucha.com'},"Celebrate Tia Chucha’s 13 years of service to the communities of the North East San Fernando Valley and beyond. Plan for a day filled with live art, cultural tianguis, food vendors, community fandango, and many more surprises.

www.tiachucha.com",2014-03-15T13:00:00,2014-03-15T18:00:00,,Tia Chucha’s Centro Cultural & Bookstore,"818-939-3433
",Free,"Culture & Community, Family Friendly"
3rd Annual Cherry Blossom Festival,,"The festival is an annual celebration in the City of Torrance. The free-family event features cultural entertainment, activities for children, arts and crafts, and food trucks. The festival is produced in collaboration with Soka Gakkai International and the Torrance Sister City Association.

www.torranceca.gov",2014-03-16T11:00:00,2014-03-16T16:00:00,,City of Torrance,310-618-2380,Free,"Family Friendly, Fairs & Festivals"
St. Patrick’s Day Community March and Celebration,,"The sidewalk parade welcomes everyone who chooses to attend. There will be bagpipers and even mariachis, storytellers and stilt walkers followed by a free raffle and live music",2014-03-17T13:00:00,2014-03-17T16:00:00,,Main Street Canoga Park,818-346-7480,Free,"Holiday Celebration, Fairs & Festivals, Family Friendly"
Complete Whalewatch,{'url': 'http://www.cabrillomarineaquarium.org'},"Join Larry Fukuhara, Cabrillo Marine Aquarium Programs Director, for an informative and fun slide presentation in the John Olguin Auditorium. Following the presentation, head out to sea on a local whalewatching vessel in search of gray whales, other marine mammals, and sea life.  Only two dates, don’t miss the boat!

 ",2014-03-23T08:30:00,2014-03-23T12:00:00,"{'human_address': '{""address"":""3720 Stephen M White Dr"",""city"":"""",""state"":"""",""zip"":""""}', 'needs_recoding': False}",City of Los Angeles Department of Recreation and Parks,310-548-7562,$20 ,"Great Outdoors, Family Friendly"
"11th Annual Los Angeles Harbor International Film Festival (LAHIFF)

",{'url': 'http://www.laharborfilmfest.com'},"The festival showcases film and video that reflects the harbor and all that it embraces - shipping and commerce, fishing, sailing, water sports, sea life and the area’s rich ethnic and cultural influences - to create a cinematic bridge between the people of the region and the people of the world.

Event times: Times vary, check website for details 

",2014-03-27T00:00:00,2014-03-30T00:00:00,,"City of Los Angeles Department of Cultural Affairs, Port of Los Angeles

",310-519-0756,$5 - $10,"Fairs & Festivals, Culture & Community"
"Bones and Blues
",{'url': 'http://www.wlcac.org'},"Bones and Blues is a monthly concert series featuring live blues and jazz music, domino tournaments, and a hearty barbecue dinner.

",2014-03-28T20:00:00,2014-03-28T23:00:00,,Watts Labor Community Action Committee (WLCAC),323-563-5639,"$25 Door, $15 Pre-sale",Culture & Community
Undiscovered Chinatown Tour,{'url': 'http://www.chinatownla.com'},"Tours take visitors to a number of off-the-beaten-track points of cultural and historical interest, and will guide those interested in shopping to some of Chinatown’s best bargains and trendiest shops. RSVP via email at info@chinatownla.com..    

",2014-04-05T10:30:00,2014-04-05T13:00:00,,Chinatown Business Improvement District,213-680-0243,$20 ,"Culture & Community, Tour LA, Family Friendly"
International Children’s Day Festival,{'url': 'http://www.aquariumofpacific.org'},"Celebrate the children in your life at the Aquarium of the Pacific’s International Children's Day Festival. This 9th annual event features performances by kids, including an international choir, songs and dances from Native American, African, Mexican, Pacific Islander, and Asian cultures, as well as crafts, face-painting, and the Young Hero Award ceremony.

This event takes place on April 5 & 6


",2014-04-05T09:00:00,2014-04-05T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Culture & Community, Family Friendly, Holiday Celebration"
International Children’s Day Festival,{'url': 'http://www.aquariumofpacific.org'},"Celebrate the children in your life at the Aquarium of the Pacific’s International Children's Day Festival. This 9th annual event features performances by kids, including an international choir, songs and dances from Native American, African, Mexican, Pacific Islander, and Asian cultures, as well as crafts, face-painting, and the Young Hero Award ceremony.

This event takes place on April 5 & 6


",2014-04-06T09:00:00,2014-04-06T17:00:00,,Aquarium of the Pacific,562-590-3100,"$28.95 Adults, $25.95 Seniors, $14.95 Children (3 -11), Free children under 3 and Aquarium members","Culture & Community, Family Friendly, Holiday Celebration"
Thai New Year “Songkran” Festival,{'url': 'http://www.thainewyear.com'},"This is a day-long celebration of Thai culture in Thai Town. The event will feature a wide variety of the Thai traditional activities, including Thai kick boxing, stage performances, Thai food cooking demonstrations, and Thai Heritage Village. The event will also feature exhibitions, vendors, traditional arts, and hand crafts.

",2014-04-06T09:00:00,2014-04-06T18:00:00,,Thai New Year Songkran Festival Corp.,323-640-4033,Free,"Free, Family Friendly, Culture & Community, Holiday Celebration, Fairs & Festivals"
