naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi,kategorije_sifre_new,kategorije_nazivi_new
"Igorjev pohod ""Od kala do kala""",svetoven dan mokrišče plisk mladinski pliskovica vabiti tradicionalen igor pohod kalo kalo nedelja februar ura zboren mesto pliskovica latnik evropski prijateljstvo dolžina pohod ura pohod poimenovan ustanovitelj igorje maher biolog raziskovalec fotograf publicist gornik motivator voden pohod speljan krožen pliskovica povezati kal pomemben površinski voden ekosistem kras nezahteven pot primeren pohodnik starost družina otrok konec pohod slediti pogostitev spomin igorje obujati okrogel miza igorjev dediščina včeraj jutri nedelja februar ura lokacija pliskovica mladinski pliskovica beseda dan igorjev prijatelj znanec soustvarjalec bogat življenjski mozaik moderator srečanje vodja pohod bogdan macarola,2020-02-02 10:00:00,216,2832583863467216.0,5,Other,5,Other
Nova svetloba/Kino-uho: Georges Méliès,kombiniranje pravljičen fantastičen pripoveden motiv francoski gledališki tradicija neomejen možnost manipuliranje gibljiv slika georges méliès leto pričeti ustvarjati film pionirski posluževati trik pospešitev zamenjava ekspozicija preliv kader optičen manipulacija pomagati izkrivljanje čas prostor multipliciranje predmet oseba transformiranje telo mikroskopski gigantski entiteta iluzija prikazovanje izginjanje kinoteka četrtek februar ogled restavriran verzija mélièsov film pustolovščina robinson crusoe pravljičen dežela film klavir spremljati kinotečen hišen pianist andrej goričar živo spremljati branje zgodba film pravljičen dežela royaum des fées georges méliès francij princesa azurin prisotnost vilinski boter zaročiti princ belazor kralj pozabiti povabiti čarovnica besen maščevati azurin ugrabiti spanje belazor odpraviti iskati pomoč vila auror digitalen restavriran verzija film izdelati francoski kinoteka leto material deponirati madeleine malthêti méliès pustolovščina robinson crusoe les aventures dejati robinson crusoë georges méliès francij čarodej film oče poseben učinek méliès ustvariti filmski priredba klasika daniel defoe postaviti puščavski otok studio primerno čas sila nekorektno predstaviti petek ostal divjak poslastica oči čut zgodovinski spomin,2020-02-13 19:30:00,262,669257476513590.0,36,Film,36,Film
8. Marec z Neisho // odpovedano,neish brusiti odrski deska deska zasedba odličen glasbenik vid žgajner boben mihati koren ebas kontrabas luka ivanovič kitara neish trenutno poln deloven elan promovirati nov singl poročen nastati sodelovanje zasedba kranjec oder skladba lahko slišati izbor neishin najbolj poznan skladba tuj priredba glasbenica prirediti popolnoma duh energičen zabaven muzikaličen večer zamuditi lokacija sokolski dom gorenje datum vstopnica volja torek dalje,2020-03-08 19:00:00,125,768066137048119.0,2,Music,2,Music
Kaševe Maškarce // Abba Show Mix Band,kašev pustovanje leto počitek vračati pustovanje odvijati bar hiša mlad sobota febuar zato slab vremenski napoved ogroziti nor žurati maškara visoko skakati lan visok divje plesati rep debel praviti star pregovor kašev pustovanje visoko skakati divje plesati abba show mix banda glasben prograti izbirati izviren maska dober skupinski maska dober posamezno maska dober maska nagrajen vstop prost,2020-02-22 22:00:00,162,1492688991033574.0,38,Dance,38,Dance
"Nordijski pohod ob polni luni, 09.02.2020",vabiti športen druženje nordijski pohod poln luna nedelja ura pohorje lahko vzpeti palica nordijski hoja zložljiv pohodniški palica smučarski palica roka hoja klanec izdatno krepiti mišica zgornji delo telo sestopanje razbremeniti spodnji del telo obutev prilagojen vremenski razmera športen copat pohodnigorniški čevelj pohod namenjen vabiti uživati gibanje narava športen druženje pohodnik planinec gornik tekač program zbor spodnji postaja mariborski vzpenjača trgovina extremevitati ura hoja bellevue nazaj iti peš gondola želja strošek udeležba brezplačen zaželjen prijava oprema majhen nahrbtnik športen pas vremenski razmera primeren športen oblačilo pohoden čevelj ustrezen športen copat rezerven oblačilo brezalkoholen pijača energijski ploščica orešček tehničen oprema naglaven svetilka palica nordijski hoja pohoden palica prijava informacija opomba pohod izveden vreme organizacija alpski društvo stratus termin naslednji pohod poln luna ponedeljek sreda četrtek lepo vabljen,2020-02-09 18:00:00,146,281013185870865.0,"3,4,16,85,100","Sports,Volunteering,Kid Friendly,Hiking,Mountaineering",3,Sports
Pust na Bledu // Carnival Party in Bled,nedelja februar bled potekati čebelji pusten karneval organizirati turizem bled sodelovanje čebelarski zveza slovenija letošnji pusten povorka kranjski čebela sivka čebelarstvo povezan koristno žuželka več informacija carnivati party bled carnivati parada fer bledec bled shopping center information,2020-02-23 14:30:00,295,225889634176959.0,"15,16","Party,Kid Friendly",15,Party
Mladi virtuozi - 13. koncert,marec viteški dvorana križanka več mlad virtuoz koncert mednaroden glasben cikel domena koren saksofon sao lea klavir quarter jazz zal smolnikar vokal smrdeti bas žig smrdeti boben anža vrabec klavir program glazun chant firšt nov delo krsten izvedba escaich lutta denis sonata altovski saksofon klavir objavljen naknadno,2020-03-19 19:30:00,130,70256676273.0,2,Music,2,Music
42. Koroški pustni karneval Kotlje 2020,koroški pusten karneval kotelj maska kreniti rimski vrelec obiskovalec predstaviti osrednji prizorišče vaški center karneval vabiti maska sprevod velik šotor nov večnamenski dvorana kotelj brezplačno malica pijača podelitev nagrada velik šotor nov večnamenski dvorana karneval vabiti otrok velik šotor nov večnamenski dvorana kjer čakati slasten miška čaj pripraviti koroški medgeneracijski center ura vabljen kotelj pusten rajanje ansambel koroški kvintet ura dalje zabavati skupina sezuti maček nov prizorišče velik šotor nov večnamenski dvorana kotelj pričakovati večeren dogajanje rekordno število maska zabava željen dober maska pusten noč sprevod čakati velik nagraden sklad koroški donator sponzor ostal pomagati priprava organizacija pusten sobota kotlja iskreno zahvaljevati organizator krajeven skupnost kotelj zavod kultura šport turizem mladinski dejavnost raven koroški občina raven koroški,2020-02-22 14:00:00,332,1685454408378556.0,15,Party,15,Party
"Proti vojnam, proti militarizmu!",slovenski civilen družba pridruževati globalen upor vojna militarizem pustošenje svet povzročati slovenija jasno opredeliti vojaški agresija velik orožarski igralec asistenca vojen dobičkar verižen sprožati povsod kjer prepoznavati plen uničevati premnog življenje dom prihodnost cel narod kontaminirati narava ustvarjati hud revščina agonija begunec migrant potem meja rezilen žica vojska zavračati zahtevati takojšnji umik slovenski vojak okupiran območje izstop vojaški operacija zavračati sodelovanje vojaški agresija kjer svet podpiranje agresiven vmešavanje političen ureditev narod domnevno demokratizacija pretveza imperialističen polaščanje naraven bogastvo vojna vojska militarizem,2020-01-25 12:00:00,448,355395548438796.0,32,Causes,32,Causes
1NA1: Gušti & Tomi Meglič — Šentjernej - Prestavljen!,gušteti tom akustičen koncert sit teater predstavljati glasben dialog prvak slovenski koncerten rock avtor praktično napisati leto črn tulipan platina postaviti nov temelj slovenski ljubezenski rock lirika nekdaj glasben rival tokrat oder skupaj obujati spomin iskati nov dimenzija nota poezija tom meglič mihati guštin gušteti glasba glasba ekskluziven glasben poslastica iti zamuditi poceni vstopnica predprodaja eventim prodajen mesto petrol pošta blagajna kulturen center primož trubar šentjernej blagajna kcsentjernejs cena vstopnica dan dogodek več info foto marka alpner,2020-03-15 19:00:00,308,1441308592783920.0,2,Music,2,Music
Otroško pustovanje z Nipketom in drugimi na Viru pri Domžalah,pusten sekcija striček leto organizirati otroški pustovanje vedeti otrok najraje našemiti rajati neizmerno sodelovanje občina domžale tica domžale mlad pripraviti naslednji program skupaj začeti ura zbor češminov park pusten zabava zajček sladek mama zajček sladko mama zdravka pripraviti nepozabno pusten zabava mama zdravka naučiti zajček sladek potrebno pusten krof bombon sladkarija pojesti zdrav zelje repa krompir korenje dolgo zdravo življenje poskrbeti vključitev kurent razdelitev krof spremiti pusten maska veliko pustovanje vir domžale ura organiziran povorka spremstvo glasben spremljava pusten maskota kurent kreniti češminov park sprehajalen pot kamniški bistrica ogrevan prireditven šotor tam slediti zabava čarovnik uršolin ledeno dober čarovnik uršolin pusten maska pričarati pomlad sonce veselje smeh leden kraljica oboževati led zima mraz uspeti pomagati pusten maska pusten ples čarovnija norčija priti vrsta veliko družinski rajanje slovenski raper boštjan nipič dobro znan vzdevek nipka slovenski raper izvajalec hip hop glasba hiteti dnevno vrteti radio verjeti doma priti velik število skupaj narediti velik otroški pusten vstop brezplačen,2020-02-22 13:30:00,300,388042060566.0,"2,16","Music,Kid Friendly",2,Music
Italija (Sonja Gračanić) // Potopisno predavanje,predavanje italij predavati sonja gračanić četrtek vetrinjski dvor večnamenski dvorana vetrinjski ulica maribor lahko zanimiv država izumiti turizem lep bolj vredno obisk rima neapelj pompe herkulaneum capreti amalfijski obala dolg čas potovanje iti avtomobil rim neapelj okolica izogibati običajen turističen potem izogniti spotoma odkriti biser začaran gozd bomarza velik italijanski pokopališče prima port podzemlje neapelj čaroben ravella amalfijski obala govoriti predstavitev prispevek delovanje društvo član študent dijak ostal študent dijak plačan članarina vstop prost,2020-02-20 19:00:00,107,375992255880352.0,"1,16","Wellness,Kid Friendly",1,Wellness
Crazy Cirkus: Clay Clemens supported by Alpha Z,program danec anthems party hits žur rezerviran plesen himna velik festivalski klubski arena prvič sezona postreči clay clemens preverjen cirkuški kader zadnji poletje razdajati vroč noa beach club zrća preveriti utrip razvpit kitajski superdiskoteka soditi najbolj zaposlen plesen didže redno tresti vodilen poleten festival dobro vaga asistirati alph vroč mladinec večkrat dokazati znati plesišče razmigati uvoden zaključen set vmes klovnisobolen čupakaber čupakaber cirkus show clay clemens cirkus noa zrć beach resident alph cirkus resident dje klub cirkus trg mladinski deloven brigada vstopnica tickets navaden regular eura vip eura informacija info cirkusklubs vip rezervacija miza rezervacija cirkusklubs izgubljen predmet lost founda info cirkusklubs,2020-02-21 23:00:00,438,237302949627686.0,15,Party,15,Party
Prešernov dan / ZLATA ŽILA / Beđo Bar / 08.02,prešernov dan slovenski kulturen praznik slovenski kulturen praznik zabavati energičen skupina zlat žila skup stvar feat djomti javiti jedina buditi malen pleša pleša tošlin imeti dan dogodek teden ponedeljek sobota rojsten dan praznovati dobiti liter slatina identifikacija oseben dokument liter slatina noč happy hour gin tonica zasebno sporočilo facebook stran beđa bar vstopnina,2020-02-08 20:00:00,133,112162672134339.0,38,Dance,38,Dance
KŠL Carnival @Torcida | ZLATA ŽILA,kšti pripravljati dober pusten zabava sobota torcid lakoš dober maska čakati super nagrada zabavati skupina zlat žila ogrevanje poskrbeti dje vstopnina maska kšti član brezplačno maska celota ostati vljudno vabljen,2020-02-29 20:30:00,225,806000699418556.0,15,Party,15,Party
IGLU predstavlja: V živo! z Mihom Šaleharjem,improvizacijski gledališče ljubljana iglu predstavljati živo mih talkshow komedija inspiriran življenje razmišljanje slaven živo spontan komedija sit teater btce mesec zabaven način predstaviti življenje razmišljanje medijski zvezda format pogovoren oddaja improvizator improvizacijski gledališče ljubljana iglu izvedeti zanimivost anekdota filozofija pikantno podrobnost gost gost odigrati živo včasih oblika improviziran skeč drugič oblika improviziran song dolg filmski doživetje žanr določilo občinstvo lani improvizator vroč stol gostiti miša molk vid valič adij smolar janez hočevar riflet milena zupančič klemen klemen maria galunič desa mucka gost leto pronicljiv radijski voditelj šalehar mihija širok slovenski javnost spoznati oddaja videospotnica kjer leto občinstvo zabavati spremljanje scena slovenski glasben videospot kasno slovenija sodelovati oddaja tekma aritmija tranzistor nato usidrati srce poslušalec val kjer malo pretiravanje sodelovati večina oddaja toplovod forum nebuloza spetek latrina živook mihati nedvomno postati ostajati radijski ime umski izum lahko spremljati številen kolumna dokumentarec iti koleno dragocen mokrišče različen prireditev zgledati delo radio mihati privaten življenje zgledati sodelovanje brat hamot skupina babewatch več živo igrati juša milčinski peter ajdovec frankl rok bohinc voditelj vid sodnik gost mihati šalehar luč tona glasba projekcija luka seliškar produkcija iglu improvizacijski gledališče ljubljana sit teater btce vstopnina eura eura študent dijak upokojenec prodajen mesto vstopnica bencinski servis petrol omva sistem mojekartes prodajen mesto mojekartes info točka btce hala ura predstava blagajna sit teater btce,2020-02-05 20:00:00,328,143411535722313.0,"16,64","Kid Friendly,Comedy",64,Comedy
