naziv,opis,datum_od,stevilo,sifra_prizorisca,kategorije_sifre,kategorije_nazivi
Nova svetloba/Kino-uho: Georges Méliès,kombiniranje pravljičen fantastičen pripoveden motiv francoski gledališki tradicija neomejen možnost manipuliranje gibljiv slika georges méliès let pričeti ustvarjati film pionirski posluževati trik pospešitev zamenjava ekspozicija preliv kader optičen manipulacija pomagati izkrivljanje čas prostor multipliciranje predmet oseba transformiranje telo mikroskopski gigantski entiteta iluzija prikazovanje izginjanje kinoteka četrtek februar ogled restavriran verzija mélièsov film pustolovščina robinson crusoej pravljičen dežela film klavir spremljati kinotečen hišen pianist andreja goričar živ spremljati branje zgodba film pravljičen dežela royaum desa fées georges méliès francija princesa azurin prisotnost vilinski botra zaročiti princ belazorati kralj pozabiti povabiti čarovnica besen maščevati azurin ugrabiti spanje belazor odprava iskati pomoč vila auror digitalen restavriran verzija film izdelati francoski kinoteka let material deponirati madelein malthêti méliès pustolovščina robinson crusoej les aventures dejati robinson crusoë georges méliès francija čarodej film oče poseben učinek méliès ustvariti filmski priredba klasik danieti defoej postaviti puščavski otok studio primeren čas sila nekorekten predstaviti petek ostal divjak poslastica oči čut zgodovinski spomin,2020-02-13 19:30:00,262,669257476513590.0,36,Film
8. Marec z Neisho // odpovedano,neish brusiti odrski deska deska zasedba odličen glasbenikov vid žgajner boben mih koren ebas kontrabas luk ivanovič kitara neish trenuten poln deloven elan promovira nov singti poročen nastal sodelovanje zasedba kranjec oder skladba lahek slišati izbor neishin najbolj poznan skladba tuj priredba glasbenica prirediti popolnoma duh energičen zabaven muzikaličen večer zamuditi lokacija sokolski dom gorenje datum vstopnica volja torek dalja,2020-03-08 19:00:00,125,768066137048119.0,2,Music
Kaševe Maškarce // Abba Show Mix Band,kašev pustovanje let počitek vrač pustovanje odvijati bar hiša mlad sobota febuar zato slab vremenski napoved ogroziti nor žura maškara visok skakati lan visok divji plesati rep debel pravi star pregovor kašev pustovanje visok skakati divji plesati abba show mix banda glasben prograti izbirati izviren maska dober skupinski maska dober posamezen maska dober maska nagrajen vstop prost,2020-02-22 22:00:00,162,1492688991033574.0,38,Dance
"Nordijski pohod ob polni luni, 09.02.2020",vabiti športen druženje nordijski pohod poln luna nedelja ura pohorje lahek vzpeti palica nordijski hoja zložljiv pohodniški palica smučarski palica roka hoja klanec izdatneje krepiti mišica zgornji del telo sestopanje razbremeniti spodnji del telo obutev prilagoditi vremenski razmera športen copata pohodnigorniški čevelj pohod namenjen vabiti uživati gibanje narava športen druženje pohodnik planinec gornik tekač program zbor spodnji postaja mariborski vzpenjača trgovina extremevitati ura hoja bellevuej nazaj iti peš gondola želja strošek udeležba brezplačen zaželiti prijava oprema majhen nahrbtnik športen pas vremenski razmera primeren športen oblačiti pohoden čevelj ustrezen športen copata rezerven oblačiti brezalkoholen pijača energijski ploščica orešček tehničen oprema naglaven svetilka palica nordijski hoja pohoden palica prijava informacija opomba pohod izveden vreme organizacija alpski društvo stratus termin naslednji pohod poln luna ponedeljek sreda četrtek lep vabiti,2020-02-09 18:00:00,146,281013185870865.0,"3,4,16,85,100","Sports,Volunteering,Kid Friendly,Hiking,Mountaineering"
42. Koroški pustni karneval Kotlje 2020,koroški pusten karnevati kotlja maska kreniti rimski vrelec obiskovalec predstaviti osrednji prizorišče vaški center karnevalo vabiti maska sprevod velik šotor nov večnamenski dvorana kotlja brezplačen malica pijača podelitev nagrada velik šotor nov večnamenski dvorana karnevalo vabiti otrok velik šotor nov večnamenski dvorana kjer čakati slasten miški čaj pripraviti koroški medgeneracijski center ura vabiti kotlja pusten rajanje ansambel koroški kvinteti ura dalja zabavati skupina sezut mačka nov prizorišče velik šotor nov večnamenski dvorana kotlja pričakovati večeren dogajanje rekorden število maska zabava željen dober maska pusten noč sprevod čakati velik nagraden sklad koroški donator sponzor ostal pomagati priprava organizacija pusten sobota kotlja iskren zahvaljevati organizator krajeven skupnost kotlja zavod kultura šport turizem mladinski dejavnost raven koroški občina raven koroški,2020-02-22 14:00:00,332,1685454408378556.0,15,Party
"Proti vojnam, proti militarizmu!",slovenski civilen družba pridruževati globalen upor vojna militarizem pustošenje svet povzročati slovenija jasen opredeliti vojaški agresija velik orožarski igralec asistenca vojen dobičkar verižen sprožati povsod kjer prepoznavati plen uničevati premnog življenje dom prihodnost cel narodov kontaminirati narava ustvarjati hud revščina agonija begunec migrant potem meja rezilen žica vojska zavračati zahtevati takojšnji umik slovenski vojakov okupiran območje izstop vojaški operacija zavračati sodelovanje vojaški agresija kjer svet podpiranje agresiven vmešavanje političen ureditev narodov domneven demokratizacija pretveza imperialističen polaščanje naraven bogastvo vojna vojska militarizem,2020-01-25 12:00:00,448,355395548438796.0,32,Causes
1NA1: Gušti & Tomi Meglič — Šentjernej - Prestavljen!,gušta tom akustičen koncert sit teater predstavljati glasben dialog prvakov slovenski koncerten rocka avtorjev praktičen napisati let črn tulipan platina postaviti nov temelj slovenski ljubezenski rocka lirika nekdaj glasben rival tokrat oder skupaj obujati spomin iskati nov dimenzija nota poezija tom meglič mih guština gušta glasba glasba ekskluziven glasben poslastica iti zamuditi poceni vstopnica predprodaja event prodajen mesto petrola pošta blagajna kulturen center primož trubar šentjerneja blagajna kcsentjernejsi cena vstopnica dan dogodek več infa fota marka alpner,2020-03-15 19:00:00,308,1441308592783920.0,2,Music
Otroško pustovanje z Nipketom in drugimi na Viru pri Domžalah,pusten sekcija striček leto organizirati otroški pustovanje vedeti otrok najraje našemija rajati neizmeren sodelovanje občina domžati tica domžati mlad pripraviti naslednji program skupaj začeti ura zbor češminov park pusten zabava zajček sladek mama zajček sladek mama zdravek pripraviti nepozaben pusten zabava mama zdravek naučiti zajček sladek potreben pusten krofa bombon sladkarija pojesti zdrav zelje repa krompir korenje dolg zdrav življenje poskrbeti vključitev kurent razdelitev krof spremiti pusten maska velik pustovanje vir domžala ura organiziran povorek spremstvo glasben spremljava pusten maskota kurent kreniti češminov park sprehajalen pot kamniški bistrica ogrevan prireditven šotor tam sled zabava čarovnik uršolin leden dober čarovnik uršolina pusten maska pričarati pomlad sonce veselje smeh leden kraljica oboževati led zima mraz uspel pomagati pusten maska pusten ples čarovnija norčija priti vrsta velik družinski rajanje slovenski raper boštjan nipič bolje znan vzdevek nipka slovenski raper izvajalec hip hop glasba hit dneven vrteti radio verjeti dom priti velik število skupaj narediti velik otroški pusten vstop brezplačen,2020-02-22 13:30:00,300,388042060566.0,"2,16","Music,Kid Friendly"
Italija (Sonja Gračanić) // Potopisno predavanje,predavanje italija predati sonj gračanić četrtek vetrinjski dvor večnamenski dvorana vetrinjski ulica maribor lahek zanimiv država izumiti turizem lep bolj vreden obisk rima neaplja pompeja herkulaneum capreti amalfijski obala dolg čas potovanje iti avtomobil rim neapelj okolica izogibati običajen turističen potem izogniti spotoma odkriti biser začaran gozd bomarza velik italijanski pokopališče per port podzemlje neapljati čaroben ravelti amalfijski obala govoriti predstavitev prispevek delovanje društvo član študent dijak ostal študent dijak plačan članarina vstop prost,2020-02-20 19:00:00,107,375992255880352.0,"1,16","Wellness,Kid Friendly"
Crazy Cirkus: Clay Clemens supported by Alpha Z,program danec anthems party hits žura rezerviran plesen himna velik klubski arena prvič sezona postreči clay clemens preverjen cirkuški kader zadnji poletje razdajati vroč beach club zrća preveriti utrip razvpit kitajski sod najbolj zaposlen plesen didžeja reden tresti vodilen poleten festival dober vaga alph vroč mladinec večkrat dokazati znati plesišče razmigati uvoden zaključen seti vmes cirkus show clay clemens cirkus zrć beach resident alph cirkus resident dje klub cirkus trg mladinski deloven brigada vstopnica tickets navaden regular eura vip eura infa vip miza izgubljen predmet lost founda infa,2020-02-21 23:00:00,438,237302949627686.0,15,Party
Prešernov dan / ZLATA ŽILA / Beđo Bar / 08.02,prešeren dan slovenski kulturen praznik slovenski kulturen praznik zabavati energičen skupina zlat žila skupa stvar feati djomti javiti jedina buditi malen pleša pleša tošlina imeti dan dogodek teden ponedeljek sobota rojsten dan praznovati dobiti liter slatina identifikacija oseben dokument liter slatina noč happy houra gin tonica zaseben sporočilo facebook stran beđ bar vstopnina,2020-02-08 20:00:00,133,112162672134339.0,38,Dance
KŠL Carnival @Torcida | ZLATA ŽILA,kšti pripravljati dober pusten zabava sobota torcid lakoš dober maska čakati super nagrada zabavati skupina zlat žila ogrevanje poskrbeti dje vstopnina maska kšti član brezplačen maska celota ostal vljuden vabiti,2020-02-29 20:30:00,225,806000699418556.0,15,Party
IGLU predstavlja: V živo! z Mihom Šaleharjem,improvizacijski gledališče ljubljana iglo predstavljati živ mih talkshow komedij inspiriran življenje razmišljanje slaven živ spontan komedij sit teater btca mesec zabaven način predstaviti življenje razmišljanje medijski zvezda format pogovoren oddaja improvizator improvizacijski gledališče ljubljana iglo izvedeti zanimivost anekdota filozofija pikanten podrobnost gost gostja odigrati živ včasih oblika improviziran skeč drugič oblika improviziran song dolg filmski doživetje žanr določilo občinstvo lani improvizator vroč stol gostiti miša molk vid valič adij smolar janez hočevar riflet milen zupančič klemen klemen mario galunič desa mucka gost let pronicljiv radijski voditelj šalehar mihija širok slovenski javnost spoznati oddaja videospotnica kjer let občinstvo zabavati spremljanje scena slovenski glasben videospot kasneje slovenija sodelovati oddaja tekma aritmija tranzistor nato usidrati srce poslušalec val kjer mali pretiravanje sodelovati večina oddaja toplovod forum nebuloza spetek latrin živook mih nedvomen postati ostajati radijski ime umski izum lahek spremljati številen kolumn dokumentarec iti koleno dragocen mokrišče različen prireditev zgled delo radio mih privaten življenje zgledati sodelovanje brat hamoto skupina babewatch več živ igrati juš milčinski peter ajdovec frankl rok bohinc voditelj vid sodnik gost mih šalehar luč ton glasba projekcija luk seliškar produkcija iglo improvizacijski gledališče ljubljana sit teater btca vstopnina eura eura študent dijak upokojenec prodajen mesto vstopnica bencinski serviseti petrola omv sistem mojekartes prodajen mesto mojekartes infa točka btca hala ura predstava blagajna sit teater btca,2020-02-05 20:00:00,328,143411535722313.0,"16,64","Kid Friendly,Comedy"
K4x4 w/ The Ghost (UK),voznik najbolj razvpit potujoč ploščaren berlin februar zaviti kersnikov gost nahajpan dje ghost james creed jos tweek več let hupati vinilen bus krožiti berlin mesečen vozovnica linija uporabljati fotra zip ghost mesto znan nabit večer rejverski ladja hoppetoss skrben izbran vinilen kovček voditi desetletje hous tehen elekter godba seti pripeljati festival tik nastop štirka celovečerec londonski fabric dvojec ghost velik floor uvesti mayell manjkati izkušnja nemški klub robert johnson bar evropski giga podkovan nikolati moara bazen ghost mayell luckison bar nikolati moara vje klub kersnikov ljubljana starosten omejitev aga limiti vstopnina entranec olaiic dan dogodek infa infa garderoba lost founda gmailc,2020-02-21 23:00:00,569,126700024052347.0,38,Dance
8. Europarkov kreativni teden z ARTom,spoštovan ljubitelj ustvarjanje velik veselje napovedovati velik ustvarjalen dogodek slovenija europark kreativen teden art teden marec rezervirati popoldan pridružiti ustvarjalen delavnica kreativen teden super priložnost obnovitev širjenje ustvarjalen znanje prijeten sproščen druženje priznan ustvarjalec udeleženec leto potruditi poiskati nov trend priznan ustvarjalec atraktiven tehnika različen področje ustvarjanje scrapbooking nakita oblikovanje modo slikarstvo več potruditi preseči dosedanji dogodek omogočiti vrhunski izkušnja ustvarjalec začetnik strokovnjak celoten slovenija bližnji država manjkati stalen nov udeleženec ustvarjalen delavnica pridružiti dodati košček mozaik velik ustvarjalen dogodek odnesti delček nov znanje informacija glede delavnica začetek prijava spremljati facebook stran videti,2020-03-02 14:00:00,514,3154252451271370.0,25,Art
